G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2019-10-23,DET,@,IND,W,119,110,118.8,109.8,100.2,.423,.308,.643,55.6,63.4,5.0,8.8,,.596,16.3,27.8,.333,,13.1,77.8,.225
2,2019-10-24,DET,,ATL,L,100,117,103.3,120.9,96.8,.259,.435,.528,48.1,57.1,6.2,9.1,,.471,12.1,20.9,.235,,12.0,78.9,.209
3,2019-10-26,DET,,PHI,L,111,117,100.3,105.7,110.7,.474,.250,.604,47.9,48.8,9.9,13.2,,.592,20.0,13.5,.276,,18.0,83.3,.230
4,2019-10-28,DET,,IND,W,96,94,103.1,101.0,93.1,.123,.296,.562,51.6,56.8,2.1,4.1,,.537,19.0,22.0,.111,,6.6,75.0,.106
5,2019-10-30,DET,@,TOR,L,113,125,110.0,121.6,102.8,.261,.341,.576,55.3,73.2,4.9,1.7,,.545,16.9,26.2,.193,,13.3,91.2,.116
6,2019-11-01,DET,@,CHI,L,106,112,104.9,110.9,101.0,.282,.341,.555,52.8,51.2,10.9,16.3,,.518,14.3,24.4,.212,,14.6,77.1,.202
7,2019-11-02,DET,,BRK,W,113,109,109.4,105.5,103.3,.319,.297,.545,46.1,51.2,7.7,11.5,,.495,7.2,11.6,.253,,12.2,78.3,.140
8,2019-11-04,DET,@,WAS,L,99,115,103.5,120.2,95.7,.280,.329,.537,50.6,61.8,4.2,14.1,,.494,17.1,31.7,.220,,9.6,69.0,.226
9,2019-11-06,DET,,NYK,W,122,102,127.5,106.6,95.7,.304,.380,.681,58.9,84.1,7.3,1.8,,.652,15.2,24.2,.241,,12.7,87.5,.163
10,2019-11-08,DET,@,IND,L,106,112,111.0,117.2,95.5,.209,.384,.564,47.6,69.2,6.3,5.9,,.529,13.8,22.7,.174,,11.3,75.0,.265
11,2019-11-11,DET,,MIN,L,114,120,114.2,120.3,99.8,.287,.368,.582,46.4,64.1,9.0,9.1,,.540,14.8,26.1,.230,,14.1,71.1,.169
12,2019-11-12,DET,@,MIA,L,108,117,109.6,118.8,98.5,.474,.526,.573,43.2,79.4,9.1,20.0,,.532,14.5,19.0,.321,,17.6,75.0,.273
13,2019-11-15,DET,@,CHO,L,106,109,110.7,113.8,95.8,.136,.432,.617,50.6,62.5,3.1,4.9,,.586,18.1,20.6,.136,,8.8,71.4,.104
14,2019-11-20,DET,@,CHI,L,89,109,89.1,109.1,99.9,.386,.398,.458,45.5,82.1,6.0,12.5,,.386,14.1,21.8,.301,,12.0,73.9,.187
15,2019-11-22,DET,,ATL,W,128,103,130.2,104.8,98.3,.244,.415,.705,55.3,61.2,13.2,19.6,,.701,16.5,33.3,.159,,16.6,75.0,.193
16,2019-11-23,DET,@,MIL,L,90,104,87.8,101.4,102.5,.110,.385,.472,44.9,59.5,6.8,6.4,,.462,13.6,13.0,.066,,18.6,79.1,.107
17,2019-11-25,DET,,ORL,W,103,88,111.8,95.5,92.1,.316,.481,.572,54.4,67.6,6.5,8.5,,.519,12.6,21.4,.266,,8.8,83.3,.190
18,2019-11-27,DET,@,CHO,L,101,102,113.1,114.3,89.3,.170,.364,.534,52.9,56.1,2.2,3.4,,.523,7.8,22.5,.102,,3.0,78.7,.193
19,2019-11-29,DET,,CHO,L,107,110,122.1,125.6,87.6,.241,.422,.583,54.9,65.9,5.7,8.9,,.584,12.4,35.0,.120,,10.0,73.8,.133
20,2019-12-01,DET,,SAS,W,132,98,135.8,100.8,97.2,.205,.352,.688,61.7,63.5,5.1,8.1,,.676,13.5,31.4,.148,,7.6,84.8,.216
21,2019-12-03,DET,@,CLE,W,127,94,133.0,98.4,95.5,.117,.372,.642,53.5,64.7,11.5,11.1,,.638,9.2,26.3,.074,,11.9,75.0,.111
22,2019-12-04,DET,,MIL,L,103,127,100.0,123.3,103.0,.237,.387,.502,42.1,64.1,4.9,5.5,,.478,9.7,16.7,.151,,12.1,75.6,.278
23,2019-12-06,DET,,IND,W,108,101,111.6,104.4,96.8,.299,.287,.549,60.7,53.8,7.2,8.5,,.511,14.7,33.3,.218,,10.7,88.1,.193
24,2019-12-09,DET,@,NOP,W,105,103,103.9,101.9,101.0,.318,.412,.542,50.5,41.7,5.9,5.7,,.488,15.7,22.2,.259,,10.6,78.3,.165
25,2019-12-12,DET,,DAL,L,111,122,113.8,125.1,97.5,.258,.472,.560,39.5,57.5,8.2,4.5,,.534,6.6,10.9,.180,,10.1,72.5,.182
26,2019-12-14,DET,@,HOU,W,115,107,109.5,101.9,105.0,.272,.402,.558,54.5,65.9,5.7,10.5,,.511,12.0,23.9,.228,,9.1,80.0,.118
27,2019-12-16,DET,,WAS,L,119,133,118.3,132.3,100.6,.395,.453,.589,50.7,70.7,6.0,7.4,,.552,12.2,30.0,.279,,13.4,77.4,.193
28,2019-12-18,DET,,TOR,L,99,112,99.7,112.8,99.3,.253,.402,.512,50.5,48.7,7.0,10.7,,.483,13.4,22.2,.172,,10.6,76.0,.231
29,2019-12-20,DET,@,BOS,L,93,114,91.3,111.9,101.9,.224,.365,.498,41.4,61.8,12.8,3.4,,.465,20.4,22.4,.165,,17.4,65.8,.174
30,2019-12-21,DET,,CHI,L,107,119,111.1,123.6,96.3,.138,.402,.580,38.7,75.0,14.5,9.5,,.552,14.8,14.6,.126,,17.0,67.6,.273
31,2019-12-23,DET,,PHI,L,109,125,115.1,132.0,94.7,.214,.357,.593,38.5,62.8,9.5,1.5,,.571,12.4,16.2,.155,,10.7,58.5,.095
32,2019-12-26,DET,,WAS,W,132,102,136.4,105.4,96.8,.302,.558,.677,52.2,69.6,5.2,7.4,,.645,12.6,29.7,.244,,10.4,67.3,.207
33,2019-12-28,DET,@,SAS,L,109,136,106.3,132.7,102.5,.333,.400,.528,44.0,50.0,8.8,8.6,,.511,9.6,18.5,.189,,9.9,81.1,.129
34,2019-12-30,DET,@,UTA,L,81,104,85.7,110.1,94.5,.291,.177,.454,48.3,46.7,10.6,8.8,,.405,16.0,21.3,.215,,13.2,78.6,.193
35,2020-01-02,DET,@,LAC,L,112,126,106.8,120.1,104.9,.372,.351,.512,46.9,50.0,9.5,1.6,,.463,9.1,23.1,.266,,12.9,75.0,.163
36,2020-01-04,DET,@,GSW,W,111,104,112.4,105.3,98.8,.193,.325,.616,52.3,55.8,13.2,8.2,,.584,18.9,22.5,.169,,12.7,77.1,.329
37,2020-01-05,DET,@,LAL,L,99,106,97.6,104.5,101.5,.449,.333,.530,46.2,72.4,7.9,8.3,,.442,14.6,13.3,.385,,11.3,77.1,.174
38,2020-01-07,DET,@,CLE,W,115,113,119.9,117.8,95.9,.231,.363,.574,46.5,61.9,8.3,5.6,,.533,8.2,22.2,.198,,14.8,73.2,.176
39,2020-01-09,DET,,CLE,L,112,115,112.7,115.7,90.0,.163,.204,.533,54.1,41.7,8.0,12.7,,.520,12.5,39.6,.102,,12.3,73.0,.154
40,2020-01-11,DET,,CHI,L,99,108,105.8,115.4,93.6,.346,.359,.551,52.5,61.1,7.5,8.3,,.519,17.5,29.3,.231,,13.6,76.9,.157
41,2020-01-13,DET,,NOP,L,110,117,98.2,104.4,101.5,.242,.323,.502,41.3,67.5,9.8,10.4,,.460,7.6,10.2,.192,,14.2,69.1,.214
42,2020-01-15,DET,@,BOS,W,116,103,124.5,110.5,93.2,.244,.410,.672,43.6,63.8,8.6,7.3,,.679,11.3,8.8,.128,,14.0,70.5,.145
43,2020-01-18,DET,@,ATL,W,136,103,133.1,100.8,102.2,.291,.372,.701,56.2,60.8,11.7,13.6,,.680,14.9,33.3,.221,,16.0,75.0,.140
44,2020-01-20,DET,@,WAS,L,100,106,99.0,104.9,101.0,.225,.360,.511,48.2,50.0,9.9,8.6,,.483,14.8,22.4,.157,,17.6,83.3,.159
45,2020-01-22,DET,,SAC,W,127,106,121.4,101.4,104.6,.603,.397,.688,51.6,48.7,8.6,6.3,,.616,15.5,8.3,.507,,8.5,78.9,.122
46,2020-01-24,DET,,MEM,L,112,125,114.2,127.5,98.0,.341,.352,.535,43.0,59.0,8.2,1.8,,.489,6.3,19.6,.253,,13.1,77.1,.354
47,2020-01-25,DET,,BRK,L,111,121,108.3,118.1,92.8,.173,.337,.496,48.6,46.5,4.9,5.8,,.476,6.7,24.1,.115,,8.7,77.6,.234
48,2020-01-27,DET,,CLE,L,100,115,101.4,116.6,98.6,.202,.417,.547,45.1,47.4,8.1,9.7,,.524,15.7,20.9,.143,,11.3,71.8,.104
49,2020-01-29,DET,@,BRK,L,115,125,116.9,127.0,98.4,.337,.313,.603,52.6,59.5,6.1,10.9,,.566,14.4,23.7,.253,,8.4,80.0,.282
