G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
69,2022-03-15,NOP,,PHO,L,115,131,117.9,134.3,97.5,.279,.395,.595,57.0,67.4,7.2,7.1,,.570,15.0,31.7,.198,,7.6,84.2,.167
70,2022-03-18,NOP,@,SAS,W,124,91,123.3,90.5,100.6,.188,.354,.597,59.2,50.0,12.9,8.9,,.573,8.0,28.9,.146,,14.1,84.9,.180
71,2022-03-20,NOP,@,ATL,W,117,112,113.6,108.8,103.0,.281,.219,.542,57.4,51.2,11.7,1.8,,.484,12.2,35.3,.250,,14.1,83.7,.230
72,2022-03-21,NOP,@,CHO,L,103,106,108.5,111.6,95.0,.178,.267,.531,57.3,57.5,9.5,9.5,,.494,13.4,33.3,.156,,16.6,86.5,.165
73,2022-03-24,NOP,,CHI,W,126,109,131.7,114.0,95.6,.410,.349,.643,56.6,56.1,10.5,4.5,,.566,9.3,25.6,.386,,14.8,89.2,.192
74,2022-03-26,NOP,,SAS,L,103,107,112.2,116.6,91.8,.211,.356,.524,46.2,57.5,4.4,16.7,,.500,7.5,26.7,.144,,8.8,65.2,.239
75,2022-03-27,NOP,,LAL,W,116,108,123.8,115.3,93.7,.264,.297,.571,51.3,56.8,10.7,2.2,,.533,6.4,27.3,.209,,14.7,80.6,.125
76,2022-03-30,NOP,@,POR,W,117,107,121.9,111.5,96.0,.500,.308,.615,49.4,65.0,16.7,14.0,,.551,12.8,30.0,.397,,17.7,68.3,.176
77,2022-04-01,NOP,@,LAL,W,114,111,113.7,110.7,100.3,.367,.329,.621,48.1,56.1,8.0,7.3,,.563,12.4,10.8,.316,,13.6,82.5,.268
78,2022-04-03,NOP,@,LAC,L,100,119,107.5,127.9,93.1,.310,.276,.506,56.8,62.9,4.3,9.8,,.454,13.2,39.6,.241,,9.1,74.5,.084
79,2022-04-05,NOP,@,SAC,W,123,109,127.3,112.8,96.6,.295,.284,.618,56.4,57.8,13.5,4.3,,.580,11.6,31.1,.239,,14.9,90.9,.263
80,2022-04-07,NOP,,POR,W,127,94,138.6,102.6,91.6,.333,.398,.595,64.5,70.5,16.4,2.6,,.543,9.4,48.9,.280,,22.7,89.7,.159
81,2022-04-09,NOP,@,MEM,L,114,141,107.7,133.2,105.8,.385,.330,.536,37.7,56.1,9.4,5.5,,.484,13.1,20.5,.286,,15.2,60.6,.189
82,2022-04-10,NOP,,GSW,L,107,128,113.1,135.3,94.6,.121,.404,.513,50.6,57.1,10.6,0.0,,.495,9.5,34.6,.091,,16.4,77.4,.136
