G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2016-10-26,NOP,,DEN,L,102,107,95.3,99.9,107.1,.283,.207,.493,36.3,81.6,14.9,8.5,,.429,9.6,9.6,.250,,19.7,71.8,.301
2,2016-10-28,NOP,,GSW,L,114,122,105.8,113.2,107.7,.230,.220,.518,50.0,61.7,7.4,7.9,,.495,10.6,23.1,.150,,11.9,80.4,.275
3,2016-10-29,NOP,@,SAS,L,79,98,84.4,104.7,93.6,.174,.256,.427,47.4,43.8,6.4,8.5,,.395,8.9,13.7,.128,,8.8,86.4,.217
4,2016-11-01,NOP,,MIL,L,113,117,110.9,114.8,101.9,.500,.317,.565,46.2,63.9,12.8,8.5,,.494,11.5,19.1,.390,,13.0,75.0,.209
5,2016-11-02,NOP,@,MEM,L,83,89,81.1,87.0,92.6,.198,.420,.471,45.3,56.7,7.8,13.4,,.438,19.3,11.4,.148,,14.2,74.5,.160
6,2016-11-04,NOP,,PHO,L,111,112,104.6,105.5,96.2,.298,.319,.522,42.2,65.1,6.6,18.8,,.511,7.0,11.3,.160,,12.5,75.5,.258
7,2016-11-07,NOP,@,GSW,L,106,116,108.3,118.5,97.9,.338,.263,.577,53.1,66.7,8.2,1.8,,.531,17.1,28.2,.263,,13.6,76.2,.111
8,2016-11-08,NOP,@,SAC,L,94,102,101.1,109.7,92.9,.214,.250,.511,50.6,60.5,5.4,16.1,,.482,9.8,17.1,.155,,10.0,86.8,.198
9,2016-11-10,NOP,@,MIL,W,112,106,113.8,107.7,98.4,.303,.281,.555,49.5,56.4,9.1,9.6,,.489,9.0,22.9,.281,,9.7,76.6,.220
10,2016-11-12,NOP,,LAL,L,99,126,104.3,132.8,94.9,.211,.222,.503,47.2,51.3,4.2,7.8,,.467,9.2,24.5,.167,,9.3,75.0,.064
11,2016-11-14,NOP,,BOS,W,106,105,106.3,105.3,99.8,.456,.266,.559,51.1,45.7,9.0,7.4,,.481,14.4,19.5,.380,,8.8,77.6,.179
12,2016-11-16,NOP,@,ORL,L,82,89,86.8,94.2,94.4,.232,.256,.454,49.0,63.3,5.3,14.8,,.409,15.8,19.6,.183,,11.1,75.0,.125
13,2016-11-18,NOP,,POR,W,113,101,116.7,104.3,96.8,.244,.293,.622,43.5,68.9,9.3,22.2,,.604,8.1,2.8,.171,,12.3,73.5,.261
14,2016-11-19,NOP,,CHO,W,121,116,109.6,105.1,100.0,.255,.367,.555,50.5,62.8,8.2,11.1,,.510,9.2,18.5,.214,,11.4,84.3,.216
15,2016-11-22,NOP,@,ATL,W,112,94,117.3,98.4,95.5,.140,.291,.613,50.0,64.4,11.5,16.1,,.587,9.0,12.8,.128,,14.4,85.4,.071
16,2016-11-23,NOP,,MIN,W,117,96,110.5,90.7,105.9,.277,.289,.628,52.3,60.0,9.4,8.7,,.596,15.4,10.8,.217,,14.5,83.7,.314
17,2016-11-25,NOP,@,POR,L,104,119,103.0,117.9,100.9,.382,.303,.586,39.5,55.6,3.0,11.8,,.559,13.6,4.8,.250,,9.3,72.7,.130
18,2016-11-27,NOP,@,DAL,L,81,91,94.9,106.6,85.4,.234,.260,.477,47.7,56.7,9.4,6.0,,.422,13.3,22.2,.208,,12.3,74.4,.221
19,2016-11-29,NOP,,LAL,W,105,88,111.2,93.2,94.5,.284,.352,.530,53.5,63.2,10.6,5.3,,.477,7.5,25.5,.239,,11.2,82.0,.103
20,2016-12-02,NOP,,LAC,L,96,114,104.5,124.1,91.9,.247,.235,.509,46.0,53.8,5.4,6.3,,.488,10.5,22.2,.153,,8.7,71.4,.159
21,2016-12-04,NOP,@,OKC,L,92,101,89.1,97.9,103.2,.194,.286,.432,46.4,41.7,7.8,9.8,,.398,9.4,20.0,.143,,13.0,78.0,.146
22,2016-12-05,NOP,,MEM,L,108,110,96.6,98.4,92.5,.212,.323,.499,47.0,53.8,6.3,10.0,,.444,9.2,11.1,.202,,11.0,78.7,.125
23,2016-12-08,NOP,,PHI,L,88,99,95.2,107.1,92.5,.262,.298,.470,50.5,54.5,3.2,3.9,,.435,11.4,23.9,.179,,9.4,76.6,.099
24,2016-12-10,NOP,@,LAC,L,105,133,106.8,135.3,98.3,.313,.229,.556,45.9,62.5,3.1,1.7,,.530,14.5,20.5,.205,,9.3,74.3,.085
25,2016-12-11,NOP,@,PHO,W,120,119,112.7,111.7,96.5,.361,.412,.534,46.2,63.2,11.3,7.3,,.474,8.9,24.6,.289,,13.0,71.4,.177
26,2016-12-13,NOP,,GSW,L,109,113,106.4,110.4,102.4,.256,.427,.597,50.0,66.7,11.7,18.0,,.561,15.7,14.3,.207,,10.4,81.3,.158
27,2016-12-15,NOP,,IND,W,102,95,101.1,94.2,100.9,.329,.318,.524,54.5,63.9,6.9,12.1,,.482,14.1,22.0,.235,,11.0,86.3,.230
