G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2021-10-20,SAS,,ORL,W,123,97,127.9,100.8,96.2,.184,.306,.581,49.4,65.3,8.3,5.3,,.566,7.0,29.5,.122,,14.3,69.8,.209
2,2021-10-22,SAS,@,DEN,L,96,102,94.8,100.7,101.3,.167,.286,.532,48.8,60.0,10.9,3.6,,.512,18.2,17.5,.119,,19.0,80.0,.058
3,2021-10-23,SAS,,MIL,L,111,121,108.2,117.9,102.6,.061,.394,.546,46.3,60.4,9.7,8.3,,.535,10.6,21.3,.051,,17.7,80.0,.217
4,2021-10-26,SAS,,LAL,L,121,125,104.3,107.7,105.1,.204,.333,.514,51.3,68.8,8.6,8.0,,.505,11.3,25.4,.111,,10.2,82.7,.162
5,2021-10-28,SAS,@,DAL,L,99,104,103.2,108.4,95.9,.170,.341,.523,51.6,53.8,6.3,25.0,,.511,12.9,23.4,.102,,11.2,80.4,.045
6,2021-10-30,SAS,@,MIL,W,102,93,97.9,89.3,104.2,.253,.326,.483,48.5,71.8,11.5,6.0,,.447,7.9,15.7,.179,,16.5,82.0,.124
7,2021-11-01,SAS,@,IND,L,118,131,118.2,131.2,99.9,.157,.315,.620,48.0,72.3,6.0,7.5,,.607,14.4,21.6,.112,,12.7,73.7,.099
8,2021-11-03,SAS,,DAL,L,108,109,101.7,102.7,106.2,.227,.239,.558,41.7,58.1,9.4,16.9,,.528,13.4,10.9,.170,,15.2,70.0,.226
9,2021-11-05,SAS,@,ORL,W,102,89,98.7,86.2,103.3,.200,.211,.521,52.7,57.5,10.6,14.6,,.478,11.7,12.2,.178,,16.2,86.0,.079
10,2021-11-07,SAS,@,OKC,L,94,99,96.1,101.2,97.8,.090,.300,.452,44.7,70.7,9.2,19.2,,.440,8.0,20.8,.060,,11.2,70.0,.181
11,2021-11-10,SAS,,SAC,W,136,117,135.9,116.9,100.1,.337,.348,.644,49.4,69.4,11.0,5.5,,.630,7.0,26.7,.217,,13.3,73.8,.143
12,2021-11-12,SAS,,DAL,L,109,123,107.8,121.7,101.1,.238,.357,.587,46.1,73.2,3.0,5.5,,.565,12.3,7.3,.167,,4.4,79.2,.130
13,2021-11-14,SAS,@,LAL,L,106,114,109.8,118.0,96.6,.167,.400,.549,48.3,70.0,9.3,3.8,,.533,13.4,22.9,.111,,13.4,78.0,.157
14,2021-11-16,SAS,@,LAC,L,92,106,86.2,99.3,106.7,.074,.232,.469,44.1,63.4,9.4,8.5,,.458,14.0,11.5,.053,,17.4,85.4,.235
15,2021-11-18,SAS,@,MIN,L,90,115,99.1,126.6,90.8,.226,.381,.487,47.2,74.3,7.7,16.2,,.452,11.5,23.9,.167,,11.5,72.1,.140
16,2021-11-22,SAS,,PHO,L,111,115,110.7,114.7,100.3,.172,.215,.555,50.0,46.9,9.0,6.6,,.554,13.0,25.0,.086,,13.6,75.0,.148
17,2021-11-24,SAS,,ATL,L,106,124,108.9,127.4,97.4,.100,.330,.508,50.0,62.8,8.2,6.5,,.490,10.3,29.4,.080,,8.4,78.4,.250
18,2021-11-26,SAS,,BOS,W,96,88,100.7,92.3,95.3,.218,.276,.503,51.0,55.3,7.3,10.3,,.471,9.5,17.0,.161,,9.2,78.9,.109
19,2021-11-29,SAS,,WAS,W,116,99,127.5,108.8,91.0,.174,.196,.586,56.0,57.1,4.4,9.8,,.576,9.2,34.9,.109,,5.8,75.0,.087
20,2021-12-02,SAS,@,POR,W,114,83,114.3,83.3,99.7,.176,.396,.581,53.9,72.7,10.0,10.4,,.560,10.9,15.4,.132,,16.7,84.0,.159
21,2021-12-04,SAS,@,GSW,W,112,107,116.1,110.9,96.4,.216,.398,.581,50.0,57.1,10.4,7.8,,.545,11.1,24.4,.182,,10.8,75.6,.156
22,2021-12-06,SAS,@,PHO,L,104,108,101.7,105.6,102.3,.204,.312,.513,45.6,77.5,11.7,9.2,,.489,12.9,20.9,.140,,14.3,68.1,.128
23,2021-12-07,SAS,,NYK,L,109,121,117.7,130.6,92.6,.217,.337,.541,45.3,73.2,5.4,7.5,,.511,9.0,27.1,.163,,9.1,63.8,.187
24,2021-12-09,SAS,,DEN,W,123,111,125.6,113.4,97.9,.250,.398,.630,62.1,69.6,5.1,12.7,,.608,11.7,33.3,.182,,7.4,88.9,.128
