G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2019-10-23,CLE,@,ORL,L,85,94,86.1,95.2,98.7,.170,.386,.449,54.0,60.6,8.1,3.6,,.426,14.5,20.4,.114,,12.1,86.3,.128
2,2019-10-26,CLE,,IND,W,110,99,110.9,99.8,99.2,.363,.388,.593,55.0,57.5,9.1,11.9,,.569,16.3,28.6,.238,,15.5,84.2,.126
3,2019-10-28,CLE,@,MIL,L,112,129,106.7,122.9,104.9,.120,.390,.532,49.0,42.2,1.9,5.6,,.510,9.5,19.2,.100,,10.5,82.6,.174
4,2019-10-30,CLE,,CHI,W,117,111,123.2,116.9,95.0,.397,.308,.638,59.5,61.0,3.2,13.7,,.590,15.6,30.3,.321,,5.7,80.4,.211
5,2019-11-01,CLE,@,IND,L,95,102,89.5,96.1,106.2,.287,.368,.485,43.7,62.5,8.5,1.4,,.431,14.0,6.3,.230,,11.0,76.4,.198
6,2019-11-03,CLE,,DAL,L,111,131,111.6,131.7,99.5,.229,.500,.525,44.6,61.5,9.0,7.5,,.500,7.8,23.1,.156,,11.5,72.5,.117
7,2019-11-05,CLE,,BOS,L,113,119,112.5,118.4,100.5,.232,.347,.540,48.9,55.0,3.0,10.9,,.489,7.9,21.2,.211,,13.3,88.9,.129
8,2019-11-08,CLE,@,WAS,W,113,100,117.9,104.3,95.9,.322,.300,.550,50.5,43.9,10.4,7.7,,.489,10.5,36.2,.278,,15.4,64.6,.031
9,2019-11-10,CLE,@,NYK,W,108,87,109.9,88.6,98.2,.378,.341,.565,46.4,55.6,11.2,3.6,,.488,12.8,20.5,.341,,17.8,67.9,.186
10,2019-11-12,CLE,@,PHI,L,97,98,100.8,101.9,96.2,.233,.244,.512,49.5,34.2,10.4,0.0,,.471,12.1,20.5,.186,,12.9,76.6,.112
11,2019-11-14,CLE,,MIA,L,97,108,98.9,110.1,98.1,.247,.376,.515,50.0,50.0,14.3,4.1,,.471,16.0,22.9,.200,,17.7,88.2,.127
12,2019-11-17,CLE,,PHI,L,95,114,95.1,114.1,99.9,.267,.278,.472,48.8,41.2,9.0,8.2,,.411,12.2,21.6,.233,,12.4,88.6,.155
13,2019-11-18,CLE,@,NYK,L,105,123,108.9,127.6,96.4,.395,.474,.589,46.6,50.0,2.1,1.3,,.586,17.6,26.3,.211,,5.8,62.0,.276
14,2019-11-20,CLE,@,MIA,L,100,124,100.1,124.1,99.9,.184,.437,.532,43.6,51.4,13.0,4.9,,.494,16.8,23.8,.161,,20.1,66.7,.295
15,2019-11-22,CLE,@,DAL,L,101,143,106.3,150.5,95.0,.198,.337,.540,41.0,62.2,3.2,4.8,,.500,9.7,17.0,.174,,4.6,72.2,.070
16,2019-11-23,CLE,,POR,W,110,104,111.0,105.0,99.1,.368,.356,.544,57.8,51.4,9.1,4.3,,.483,11.4,22.0,.299,,9.6,87.8,.138
17,2019-11-25,CLE,,BRK,L,106,108,111.2,113.3,95.3,.213,.340,.516,48.4,60.0,5.2,6.7,,.495,8.9,25.0,.138,,8.3,73.3,.096
18,2019-11-27,CLE,,ORL,L,104,116,101.8,113.6,102.2,.272,.420,.573,59.0,54.1,4.9,0.0,,.525,21.6,30.0,.235,,9.9,86.0,.151
19,2019-11-29,CLE,,MIL,L,110,119,112.2,121.3,98.1,.114,.386,.595,46.6,72.7,7.1,1.9,,.597,13.2,18.2,.057,,11.7,75.0,.193
20,2019-12-03,CLE,,DET,L,94,127,98.4,133.0,95.5,.156,.300,.489,46.5,42.1,6.3,10.2,,.467,11.9,25.0,.111,,9.2,73.7,.074
21,2019-12-06,CLE,,ORL,L,87,93,92.9,99.3,93.7,.120,.410,.498,51.1,62.9,9.6,12.5,,.482,15.5,23.3,.084,,15.6,77.8,.244
22,2019-12-07,CLE,@,PHI,L,94,141,92.6,138.9,101.5,.177,.365,.454,40.7,55.6,3.9,0.0,,.422,14.1,21.2,.135,,7.4,70.6,.178
23,2019-12-09,CLE,@,BOS,L,88,110,92.7,115.8,95.0,.209,.341,.443,53.6,50.0,8.4,3.9,,.434,15.3,34.6,.099,,18.1,84.4,.064
24,2019-12-11,CLE,,HOU,L,110,116,117.9,124.3,93.3,.090,.360,.594,50.0,63.0,8.6,8.9,,.590,14.0,26.5,.056,,12.3,71.1,.149
25,2019-12-12,CLE,@,SAS,W,117,109,109.3,101.8,97.0,.208,.469,.558,58.1,50.0,5.6,4.3,,.536,14.7,24.4,.146,,11.0,95.1,.233
26,2019-12-14,CLE,@,MIL,L,108,125,108.4,125.5,99.6,.167,.389,.559,52.3,65.9,10.0,6.3,,.539,15.7,26.7,.122,,11.1,80.5,.224
27,2019-12-16,CLE,@,TOR,L,113,133,117.1,137.9,96.5,.189,.389,.580,48.8,68.2,6.2,1.8,,.556,9.3,20.5,.144,,6.8,83.3,.146
28,2019-12-18,CLE,,CHO,W,100,98,109.6,107.4,91.3,.230,.351,.614,57.8,62.5,7.7,5.6,,.588,22.0,33.3,.176,,8.3,71.7,.121
29,2019-12-20,CLE,,MEM,W,114,107,114.9,107.9,99.2,.250,.402,.558,56.6,65.0,4.0,16.4,,.527,12.1,30.8,.185,,6.2,81.5,.049
30,2019-12-23,CLE,,ATL,W,121,118,107.0,104.3,113.1,.125,.302,.597,53.8,38.0,7.1,11.3,,.578,18.5,17.9,.104,,13.5,87.8,.137
31,2019-12-27,CLE,@,BOS,L,117,129,116.6,128.6,100.3,.341,.271,.598,46.9,50.0,7.0,5.5,,.571,10.1,16.2,.235,,9.6,72.7,.179
32,2019-12-28,CLE,@,MIN,W,94,88,91.2,85.4,103.1,.468,.260,.506,60.0,40.6,8.7,7.1,,.442,23.2,35.0,.338,,15.1,76.7,.151
33,2019-12-31,CLE,@,TOR,L,97,117,101.3,122.2,95.7,.184,.437,.516,47.7,56.8,5.2,8.9,,.483,13.0,18.6,.149,,10.4,76.7,.238
34,2020-01-02,CLE,,CHO,L,106,109,114.6,117.9,92.5,.173,.432,.608,51.9,63.4,6.5,6.7,,.586,13.8,19.4,.136,,10.5,77.8,.241
35,2020-01-04,CLE,,OKC,L,106,121,110.5,126.1,95.9,.200,.353,.573,44.7,48.7,4.2,0.0,,.541,12.3,20.9,.165,,9.3,64.7,.219
36,2020-01-05,CLE,,MIN,L,103,118,103.8,119.0,99.2,.226,.298,.558,50.6,37.5,6.0,3.5,,.524,17.8,29.3,.179,,13.7,69.6,.105
37,2020-01-07,CLE,,DET,L,113,115,117.8,119.9,95.9,.188,.365,.614,53.5,69.0,7.3,6.9,,.576,14.8,26.8,.176,,8.2,77.8,.198
38,2020-01-09,CLE,@,DET,W,115,112,115.7,112.7,90.0,.220,.220,.576,45.9,50.0,9.1,6.4,,.555,12.3,27.0,.154,,12.5,60.4,.102
39,2020-01-11,CLE,@,DEN,W,111,103,116.7,108.3,95.1,.146,.416,.586,56.7,50.0,5.3,1.8,,.562,12.9,27.9,.124,,4.6,79.6,.137
40,2020-01-13,CLE,@,LAL,L,99,128,99.6,128.7,99.4,.282,.294,.518,47.1,55.3,4.0,1.7,,.488,16.6,22.7,.188,,8.2,73.2,.239
41,2020-01-14,CLE,@,LAC,L,103,128,103.5,128.6,99.5,.165,.407,.528,43.0,65.8,5.0,10.7,,.495,11.8,17.0,.143,,9.6,69.6,.160
