G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2021-10-20,HOU,@,MIN,L,106,124,101.1,118.3,104.8,.250,.375,.543,47.1,52.5,12.4,6.1,,.517,19.7,26.7,.170,,15.2,69.0,.276
2,2021-10-22,HOU,,OKC,W,124,91,116.8,85.7,106.2,.147,.400,.613,58.1,60.4,11.3,20.8,,.595,14.4,24.4,.116,,16.2,84.6,.099
3,2021-10-24,HOU,,BOS,L,97,107,99.7,110.0,97.3,.320,.427,.567,48.2,62.5,7.2,10.3,,.520,17.4,11.9,.253,,10.4,85.4,.186
4,2021-10-26,HOU,@,DAL,L,106,116,104.2,114.0,101.7,.302,.453,.544,49.5,66.7,6.9,6.0,,.512,14.9,23.4,.209,,11.9,73.1,.194
5,2021-10-28,HOU,,UTA,L,91,122,90.4,121.3,100.6,.242,.463,.433,41.4,48.4,8.0,7.7,,.374,9.5,21.3,.211,,14.0,73.7,.282
6,2021-10-31,HOU,@,LAL,L,85,95,83.4,93.2,101.9,.382,.368,.479,56.1,56.3,7.9,4.6,,.461,22.0,23.3,.197,,10.6,81.8,.083
7,2021-11-02,HOU,@,LAL,L,117,119,110.2,112.1,106.2,.132,.462,.608,46.9,56.3,7.5,5.9,,.615,20.0,25.6,.055,,14.3,71.1,.161
8,2021-11-04,HOU,@,PHO,L,111,123,106.7,118.2,104.1,.318,.364,.553,48.3,65.8,3.8,6.5,,.494,15.2,17.5,.273,,10.4,73.5,.226
9,2021-11-06,HOU,@,DEN,L,94,95,99.5,100.6,94.5,.320,.373,.549,51.1,54.3,8.5,12.2,,.520,15.8,16.7,.213,,10.2,80.0,.157
10,2021-11-07,HOU,@,GSW,L,107,120,105.7,118.5,101.2,.468,.418,.562,50.6,47.2,10.9,7.7,,.519,18.1,26.1,.316,,13.8,81.1,.200
11,2021-11-10,HOU,,DET,L,104,112,105.0,113.0,99.1,.415,.415,.536,46.2,48.6,5.0,10.2,,.500,11.8,19.5,.268,,11.8,68.0,.124
12,2021-11-12,HOU,,POR,L,92,104,92.4,104.4,99.6,.318,.376,.475,48.5,38.2,6.0,11.8,,.441,11.8,18.0,.200,,11.4,78.4,.287
13,2021-11-14,HOU,,PHO,L,89,115,86.2,111.4,103.3,.212,.376,.479,48.0,54.3,6.8,8.8,,.453,19.8,18.4,.141,,8.6,76.5,.175
14,2021-11-15,HOU,@,MEM,L,102,136,96.2,128.2,106.1,.274,.400,.479,48.4,66.7,5.7,9.1,,.437,13.8,25.0,.200,,8.7,82.1,.167
15,2021-11-17,HOU,@,OKC,L,89,101,89.3,101.3,99.7,.211,.467,.452,45.1,50.0,6.0,7.5,,.422,12.5,16.1,.144,,9.2,80.4,.098
16,2021-11-20,HOU,@,NYK,L,99,106,100.8,108.0,98.2,.262,.464,.528,56.5,55.3,5.1,21.6,,.512,19.0,28.3,.155,,11.8,89.7,.282
17,2021-11-22,HOU,@,BOS,L,90,108,88.6,106.3,101.6,.289,.506,.481,42.0,61.3,4.9,7.0,,.440,13.0,7.8,.205,,12.2,77.6,.196
18,2021-11-24,HOU,,CHI,W,118,113,112.3,107.6,105.0,.262,.429,.630,53.5,64.3,4.8,9.8,,.601,18.3,17.9,.202,,11.4,83.0,.104
19,2021-11-27,HOU,,CHO,W,146,143,137.7,134.8,96.0,.326,.516,.672,51.3,70.6,4.7,7.5,,.658,10.7,30.3,.221,,8.6,66.0,.262
20,2021-11-29,HOU,,OKC,W,102,89,98.2,85.7,103.8,.115,.479,.506,57.1,77.5,6.7,11.4,,.495,11.4,18.0,.073,,10.9,92.7,.230
21,2021-12-01,HOU,@,OKC,W,114,110,117.6,113.5,96.9,.278,.468,.643,53.3,62.5,9.3,22.6,,.601,16.9,24.2,.241,,11.7,76.2,.259
22,2021-12-03,HOU,,ORL,W,118,116,118.3,116.3,99.7,.163,.511,.598,43.8,75.0,7.0,10.2,,.571,9.2,16.7,.141,,15.9,73.7,.221
23,2021-12-05,HOU,,NOP,W,118,108,132.1,120.9,89.3,.367,.506,.643,44.4,61.5,3.4,5.4,,.601,13.2,28.2,.291,,6.3,56.9,.191
24,2021-12-08,HOU,,BRK,W,114,104,119.3,108.9,95.5,.358,.506,.608,46.3,57.5,9.4,16.1,,.580,12.2,23.1,.247,,11.2,67.4,.292
