G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
1,2019-10-23,ORL,,CLE,W,94,85,95.2,86.1,98.7,.221,.349,.498,46.0,64.9,12.2,7.4,,.483,12.1,13.7,.128,,14.5,79.6,.114
2,2019-10-26,ORL,@,ATL,L,99,103,100.2,104.2,98.8,.263,.313,.448,46.9,42.9,8.1,13.0,,.379,8.3,28.3,.242,,16.6,76.3,.095
3,2019-10-28,ORL,@,TOR,L,95,104,90.9,99.5,104.5,.202,.438,.490,47.5,64.7,8.6,13.0,,.449,14.2,14.8,.169,,14.0,86.7,.329
4,2019-10-30,ORL,,NYK,W,95,83,109.5,95.7,86.8,.136,.364,.509,54.2,64.9,5.8,11.8,,.489,7.0,29.2,.102,,10.8,79.2,.171
5,2019-11-01,ORL,,MIL,L,91,123,89.6,121.1,101.5,.187,.407,.462,40.8,61.8,7.9,6.5,,.440,14.0,17.5,.121,,11.4,73.2,.129
6,2019-11-02,ORL,,DEN,L,87,91,92.9,97.2,93.6,.128,.337,.479,53.4,59.5,8.5,15.6,,.465,14.2,22.7,.081,,12.6,84.1,.384
7,2019-11-05,ORL,@,OKC,L,94,102,101.7,110.4,92.4,.378,.268,.491,58.2,46.9,5.4,15.1,,.409,12.8,34.0,.329,,8.7,84.1,.186
8,2019-11-06,ORL,@,DAL,L,106,107,107.0,108.0,99.1,.350,.300,.574,50.6,64.1,14.1,18.9,,.525,16.3,24.4,.275,,14.9,73.9,.286
9,2019-11-08,ORL,,MEM,W,118,86,116.3,84.7,101.5,.290,.301,.563,61.3,54.5,9.9,17.5,,.511,7.9,27.3,.247,,16.4,91.8,.128
10,2019-11-10,ORL,,IND,L,102,109,111.5,119.2,91.5,.067,.404,.557,46.3,65.9,5.5,15.5,,.545,9.8,17.5,.056,,8.8,75.0,.044
11,2019-11-13,ORL,,PHI,W,112,97,109.3,94.7,102.4,.395,.372,.555,50.5,71.1,5.9,3.3,,.500,11.4,18.8,.302,,13.4,83.0,.099
12,2019-11-15,ORL,,SAS,W,111,109,117.2,115.1,94.7,.391,.333,.544,53.9,61.1,6.3,7.9,,.483,8.9,29.8,.310,,10.5,81.0,.067
13,2019-11-17,ORL,,WAS,W,125,121,125.4,121.3,99.7,.299,.437,.635,57.8,58.1,5.0,5.4,,.580,12.5,27.5,.276,,8.1,82.0,.103
14,2019-11-20,ORL,@,TOR,L,97,113,102.9,119.9,94.3,.308,.352,.469,47.8,74.3,9.5,13.3,,.434,9.6,30.2,.198,,10.3,73.0,.161
15,2019-11-23,ORL,@,IND,L,106,111,108.1,113.2,98.0,.098,.337,.552,44.0,55.8,11.2,9.1,,.538,11.9,16.7,.076,,18.1,78.8,.190
16,2019-11-25,ORL,@,DET,L,88,103,95.5,111.8,92.1,.262,.298,.470,45.6,46.9,8.7,17.1,,.429,8.8,16.7,.190,,12.6,78.6,.266
17,2019-11-27,ORL,@,CLE,W,116,104,113.6,101.8,102.2,.183,.355,.577,41.0,51.1,12.7,12.8,,.548,9.9,14.0,.151,,21.6,70.0,.235
18,2019-11-29,ORL,,TOR,L,83,90,86.6,93.9,95.9,.346,.372,.462,53.1,63.0,10.4,23.9,,.391,19.7,27.1,.282,,11.9,78.0,.202
19,2019-12-01,ORL,,GSW,W,100,96,107.7,103.4,92.9,.253,.379,.517,51.1,56.8,7.5,11.8,,.489,11.0,27.9,.172,,9.0,70.6,.198
20,2019-12-03,ORL,@,WAS,W,127,120,122.4,115.6,103.8,.300,.344,.623,55.8,56.5,2.9,7.4,,.594,11.3,19.5,.222,,9.2,88.9,.202
21,2019-12-04,ORL,,PHO,W,128,114,128.9,114.8,99.3,.235,.294,.682,60.8,55.1,9.1,12.7,,.659,16.8,34.4,.188,,11.8,81.0,.148
22,2019-12-06,ORL,@,CLE,W,93,87,99.3,92.9,93.7,.280,.317,.505,48.9,59.4,10.7,18.4,,.445,15.6,22.2,.244,,15.5,76.7,.084
23,2019-12-09,ORL,@,MIL,L,101,110,98.8,107.6,102.2,.283,.337,.488,44.9,68.6,7.8,19.6,,.435,10.4,17.0,.228,,12.4,77.8,.087
24,2019-12-11,ORL,,LAL,L,87,96,93.5,103.1,93.1,.210,.321,.492,45.6,58.8,10.7,8.9,,.469,13.7,17.8,.136,,12.0,73.3,.115
25,2019-12-13,ORL,,HOU,L,107,130,119.1,144.7,89.8,.176,.407,.546,46.8,60.0,3.3,12.8,,.522,5.8,27.1,.132,,8.9,77.4,.140
26,2019-12-15,ORL,@,NOP,W,130,119,132.1,121.0,98.4,.292,.382,.647,49.4,69.6,8.1,4.4,,.612,8.2,21.6,.236,,15.4,73.8,.068
27,2019-12-17,ORL,@,UTA,L,102,109,103.4,110.5,98.6,.161,.376,.512,41.4,50.0,6.1,9.3,,.489,2.9,7.7,.118,,12.6,78.7,.111
